gene	Plus_NusA_1	Plus_NusA_2	Plus_NusA_3	Plus_NusA_4	Plus_NusA_5	Plus_NusA_6
BSU00010	4871	2608	3440	2874	3517	2504
BSU00020	2455	1282	1432	1775	2256	1600
BSU00030	482	414	523	334	353	309
BSU00040	5292	3982	4464	4146	4281	3307
BSU00050	660	299	498	406	470	431
BSU00060	8487	6345	7025	6729	7159	5766
BSU00070	13643	8606	10440	9263	10562	7647
BSU_rRNA_1	701	327	287	243	251	285
BSU_tRNA_5	1621	1903	1658	1371	533	1181
BSU_tRNA_6	1829	2976	4030	3773	1437	2986
BSU_rRNA_2	773	290	345	299	372	326
BSU_rRNA_3	83	141	117	130	67	169
BSU00080	75	40	44	34	33	43
BSU00090	20054	13229	15496	15915	17887	13765
BSU00100	3576	2196	2885	2361	2591	1769
BSU00110	8809	6520	7550	7415	7160	5513
BSU00120	7419	5123	5899	6112	6417	4348
BSU_misc_RNA_1	3790	5775	6540	4518	3661	4857
BSU00130	3281	2920	3156	3327	3381	2795
BSU_tRNA_7	43893	105683	164935	231240	83730	226070
BSU00140	1289	704	927	849	1159	953
BSU00150	1218	614	763	853	945	812
BSU00160	93	69	69	70	66	75
BSU00170	48	23	21	27	44	26
BSU00180	249	244	260	171	171	119
BSU_misc_RNA_2	139614	362805	278862	216252	199363	294909
BSU00190	3498	2688	3134	2362	2328	1896
BSU00200	1126	748	746	736	777	672
BSU00210	1044	657	816	690	605	517
BSU00220	299	238	222	135	197	164
BSU00230	58	43	68	29	29	37
BSU_rRNA_4	650	286	269	215	225	259
BSU_tRNA_8	1620	1902	1658	1371	533	1181
BSU_tRNA_9	1830	2976	4030	3773	1437	2986
BSU_rRNA_5	799	287	338	304	384	349
BSU_rRNA_26	80	132	105	110	58	125
BSU00240	10	3	12	8	17	34
BSU00250	318	168	267	295	320	270
BSU00260	850	509	550	680	757	588
BSU00270	1251	752	942	762	837	701
BSU00280	622	401	399	401	455	379
BSU00290	752	601	780	637	716	714
BSU00300	773	615	985	697	771	887
BSU00310	1940	1089	1159	1292	1567	1301
BSU00320	3303	2122	2700	2221	2296	1908
BSU00330	1657	1031	1218	1193	1246	1162
BSU00340	627	418	605	354	309	240
BSU00350	265	199	272	178	153	126
BSU00360	1050	701	631	733	690	579
BSU00370	413	185	240	457	1026	1403
BSU00380	7072	4740	5107	5626	6234	4782
BSU00390	545	287	417	492	481	432
BSU00400	10504	6822	6861	6075	6256	5156
BSU00410	570	349	448	212	238	147
BSU00420	1211	749	786	611	625	478
BSU00430	41	28	50	40	36	37
BSU00440	8586	6380	7521	9835	10260	14291
BSU00450	98	110	93	56	38	72
BSU00460	1857	1439	1699	1294	1067	858
BSU00470	3863	2573	2988	2940	2637	2237
BSU00480	3450	2558	2880	3094	2948	2661
BSU00490	12305	10483	9150	15195	14812	15787
BSU00500	5104	3536	4071	3326	3408	2371
BSU00510	3677	2432	2896	2834	3392	2179
BSU00520	3708	3106	2880	3325	3800	3879
BSU00530	782	465	709	633	625	655
BSU00540	363	161	199	288	397	364
BSU00550	4589	3315	3395	3797	3976	2946
BSU00560	908	666	638	639	792	648
BSU00570	573	400	488	412	458	389
BSU00580	3546	2356	2727	2741	2795	2324
BSU00590	1398	850	1144	1140	1013	846
BSU00600	1313	839	1242	1036	1055	917
BSU00610	1803	1027	1480	1247	1302	1102
BSU00620	2728	1626	2175	1676	1692	1494
BSU00630	5901	3821	4794	4676	4154	4081
BSU_tRNA_10	7305	12687	34368	35433	10465	27690
BSU_tRNA_11	3772	6208	13031	13681	4791	12082
BSU00640	573	456	603	219	147	177
BSU00650	264	198	157	196	152	134
BSU00660	142	89	91	107	93	81
BSU00670	4253	3141	3893	3330	2618	2232
BSU00680	2899	1965	2450	2086	2291	1732
BSU00690	38984	26567	30379	29707	34012	25203
BSU00700	829	546	747	563	604	477
BSU00710	1652	1061	1323	1115	1193	1048
BSU00720	594	350	494	447	472	397
BSU00730	15368	11947	10650	12181	11937	9285
BSU00740	928	594	792	852	857	742
BSU00750	952	600	726	816	917	995
BSU00760	866	540	800	600	638	680
BSU00770	1351	967	1219	1051	940	877
BSU00780	622	485	565	495	448	408
BSU00790	1178	943	1077	933	1059	928
BSU00800	629	552	585	575	513	484
BSU00810	4424	3189	3650	2845	2636	2234
BSU00820	9615	6306	6998	7609	8157	6609
BSU_rRNA_6	684	316	311	222	229	278
BSU_rRNA_7	789	288	342	294	360	332
BSU_rRNA_8	58	111	86	85	47	101
BSU_tRNA_12	2510	1555	1479	2908	1153	2571
BSU_tRNA_13	8489	8677	10791	10742	5601	10360
BSU_tRNA_14	1930	1330	947	2293	1635	2851
BSU_tRNA_15	3622	5700	8461	9289	4302	9936
BSU_tRNA_16	4843	3400	3080	5862	3165	5156
BSU_tRNA_17	3066	3645	3019	3475	2102	3304
BSU_tRNA_18	917	1169	913	714	520	712
BSU_tRNA_19	577	369	345	445	339	439
BSU_tRNA_20	1790	3042	4600	4009	1717	3261
BSU_rRNA_9	650	297	280	218	228	265
BSU_rRNA_10	781	300	366	302	383	343
BSU_rRNA_11	85	141	116	130	67	168
BSU00830	490	176	311	391	593	497
BSU00840	597	296	412	435	660	529
BSU00850	1721	932	1077	1331	1696	1254
BSU00860	5632	4034	4513	4977	5673	4698
BSU00870	660	465	598	544	488	543
BSU00880	462	241	358	353	327	337
BSU00890	885	521	639	725	705	551
BSU00900	795	549	625	577	550	578
BSU00910	234	162	137	188	133	131
BSU00920	8212	5709	7053	6377	6565	5026
BSU00930	558	322	435	503	546	393
BSU00940	1280	739	903	1132	1232	1156
BSU00950	436	228	334	376	350	367
BSU00960	1072	644	739	880	887	806
BSU00970	780	505	617	573	608	533
BSU00980	6315	3198	3995	3988	4807	3896
BSU00990	1301	659	962	822	1149	1051
BSU01000	1296	546	862	902	1436	1221
BSU01010	3029	1657	2184	1378	1472	1089
BSU01020	58436	36958	43106	41913	54999	45837
BSU01030	43600	27521	33189	25176	36817	27497
BSU_misc_RNA_3	16508	6912	8392	10922	16882	13615
BSU01040	46313	27640	38555	33795	50766	39722
BSU01050	35388	20001	26012	24388	38995	31108
BSU01060	914	442	598	547	868	610
BSU01070	46790	28941	36418	32408	42376	29792
BSU01080	62333	38877	46309	49982	64924	45415
BSU01090	13217	9412	12999	8144	11161	8443
BSU01100	35938	20474	27990	24593	32575	22136
BSU01110	39149	20893	28013	25065	38432	26166
BSU01120	179707	100078	131589	120397	173284	116463
BSU01130	169808	112417	133783	134691	169119	131784
BSU01140	269	158	355	236	278	219
BSU01150	18900	10859	13730	11387	16586	12685
BSU01160	47747	30190	37536	27885	41638	28613
BSU01170	32976	19061	25023	20368	31248	21901
BSU01180	19526	13298	18661	12511	18997	13240
BSU01190	63601	39787	47825	44816	61483	45971
BSU01200	13825	6741	9251	8205	13128	9604
BSU01210	16600	9726	12337	11488	15848	11667
BSU01220	24502	15396	19687	15122	23557	17691
BSU01230	13083	7751	10635	9268	13895	10272
BSU01240	5788	2664	4018	3868	6384	4455
BSU01250	7803	3651	6323	5118	10044	7236
BSU01260	13679	7718	11243	9170	13933	10538
BSU01270	12350	6621	8471	8693	12530	9234
BSU01280	18895	9677	13486	12397	20153	14797
BSU01290	7263	3287	4606	4859	7553	5416
BSU01300	12799	6161	8091	8491	14715	10584
BSU01310	19462	11312	15032	13554	21034	14897
BSU01320	14056	7668	10277	10162	15137	10735
BSU01330	20133	10905	14579	14669	21344	14881
BSU01340	5761	3444	5033	3859	6743	4447
BSU01350	21970	13132	19355	15525	23983	16446
BSU01360	51420	28437	41822	38601	61870	43687
BSU01370	27950	15372	21828	21946	28196	20192
BSU01380	30459	17308	23754	23018	31143	21695
BSU01389	9652	3806	6236	7219	11510	8153
BSU01390	7556	3847	5059	5361	8446	5899
BSU01400	5141	2923	4381	3589	5549	3864
BSU01410	18569	10900	15771	14243	18861	13555
BSU01420	16181	8295	10796	12032	16608	11836
BSU01430	55299	33104	45060	43367	60958	43991
BSU01440	17673	14245	17838	15797	18906	16783
BSU01450	1229	783	975	817	955	694
BSU01460	1435	917	1089	855	1073	767
BSU01470	1208	745	1002	798	952	839
BSU01480	3815	2312	3331	3217	2577	2208
BSU_misc_RNA_4	1238	501	560	743	1015	768
BSU01490	30959	17778	17990	20897	24541	19607
BSU01500	24173	16105	17181	17933	20803	18738
BSU01510	1189	728	731	1125	1038	925
BSU01520	23	15	10	20	14	21
BSU01530	66	47	84	58	48	66
BSU01540	5368	4057	4613	4471	5324	4450
BSU01550	389	248	264	288	520	373
BSU01560	269	86	231	116	191	194
BSU01570	253	125	189	163	195	183
BSU_rRNA_23	404	238	232	176	156	221
BSU_rRNA_14	624	252	301	252	303	286
BSU_rRNA_15	47	104	77	66	40	85
BSU_tRNA_23	530	873	916	1274	890	1679
BSU_tRNA_24	1505	2404	2443	2864	1575	2988
BSU_tRNA_25	2454	1468	1239	3116	1537	2355
BSU_tRNA_26	631	629	521	535	339	537
BSU_tRNA_27	435	289	280	343	226	325
BSU_tRNA_28	1631	2717	4183	3792	1510	2967
BSU_rRNA_16	484	213	211	157	167	186
BSU_rRNA_29	590	248	294	242	284	276
BSU_rRNA_24	60	122	97	95	56	119
BSU_rRNA_25	515	223	221	170	175	194
BSU_rRNA_27	744	275	320	277	348	315
BSU_rRNA_28	61	123	89	91	48	112
BSU01580	1051	647	997	646	903	603
BSU01590	503	301	430	404	546	412
BSU01600	3038	2336	2413	2956	2522	2443
BSU01610	4777	3929	3917	4583	3689	3712
BSU01620	4879	3627	3892	4577	4177	4048
BSU01630	10838	7013	7033	10272	8871	9250
BSU01640	1667	1065	1273	1666	1956	1648
BSU01650	101	61	90	78	116	79
BSU01660	117	138	175	122	110	126
BSU01670	111	107	73	77	67	76
BSU01680	121	82	123	138	107	88
BSU01690	221	126	184	174	116	101
BSU01700	259	190	241	321	216	202
BSU01710	73	38	56	80	94	65
BSU01720	167	136	201	199	196	192
BSU_tRNA_75	7183	5561	8096	15075	9552	18279
BSU_tRNA_78	9479	10207	14314	15505	9458	18653
BSU_tRNA_76	2243	2357	2417	2741	1285	2659
BSU_tRNA_77	3156	4292	7201	11099	5710	11731
BSU_tRNA_74	2610	3258	4584	7864	4694	9076
BSU01730	7673	5223	6675	6134	6997	5462
BSU01740	9492	7627	8399	8075	8247	6991
BSU01750	1321	1017	1222	1035	877	831
BSU01760	4179	2811	3497	2886	2826	2093
BSU01770	4101	2994	3551	2747	2955	2201
BSU_misc_RNA_5	601	649	671	436	367	369
BSU01780	16168	12802	12582	10316	9895	7332
BSU01800	271	149	203	221	283	248
BSU01810	30	7	20	23	26	38
BSU01820	44	59	64	60	43	39
BSU01830	208	261	244	320	421	381
BSU01845	483	589	576	857	1115	908
BSU01860	124	96	135	210	354	302
BSU01870	52	29	41	58	160	131
BSU01880	115	107	124	258	345	302
BSU01889	387	344	405	549	426	480
BSU01890	294	284	221	291	305	281
BSU01900	13	9	11	8	13	10
BSU01910	2159	1052	1005	1513	2628	2462
BSU01920	1558	524	900	655	1491	937
BSU01935	1499	502	783	602	1348	880
BSU01950	853	371	506	408	702	489
BSU01960	792	240	349	334	648	393
BSU01970	241	155	201	140	207	161
BSU01980	237	109	167	125	252	182
BSU01990	172	115	166	123	185	165
BSU02000	135	82	116	104	153	87
BSU02010	413	224	310	242	424	267
BSU02019	669	364	341	910	673	637
BSU02030	326	144	182	257	261	206
BSU02040	3783	1817	1597	3022	4057	3458
BSU02050	8357	4995	4704	8069	7927	6808
BSU02060	828	707	886	820	961	858
BSU02070	5	2	2	2	2	5
BSU02080	3	4	6	6	4	6
BSU02090	111	131	120	184	122	123
BSU02100	51	36	48	46	28	48
BSU02110	15	24	34	31	105	312
BSU02120	4532	4231	4330	4646	5317	4176
BSU02130	153	134	128	143	108	121
BSU02140	132	111	156	119	115	87
BSU02150	7	4	11	15	19	12
BSU02160	98	84	77	97	103	78
BSU02170	233	201	191	232	218	213
BSU02180	83	19	38	67	99	97
BSU02190	148	28	63	65	178	108
BSU02200	985	624	788	920	1000	897
BSU02210	345	287	259	314	308	276
BSU02220	345	234	277	314	290	260
BSU02230	2103	1810	1627	2007	1792	1525
BSU02240	1302	1090	982	1514	1180	1082
BSU02250	475	333	360	479	410	366
BSU02260	1558	990	1280	1350	1298	1365
BSU02270	1451	1053	1439	967	1117	814
BSU02280	1116	934	1317	843	847	646
BSU02290	2850	1952	2434	1880	1841	1527
BSU02300	165	126	101	167	189	230
BSU02310	1419	879	945	1005	1299	946
BSU02320	231	113	185	139	229	151
BSU02330	3540	2571	2671	3171	3330	2903
BSU02340	127	99	163	77	74	66
BSU02350	3714	2910	3054	3111	3332	2700
BSU02360	1652	1261	1348	1444	1500	1237
BSU02370	382	215	301	320	224	217
BSU02380	123	89	123	142	126	116
BSU02390	279	184	239	368	262	270
BSU02400	3398	3108	3026	3174	2827	2276
BSU02410	646	556	477	884	640	589
BSU02420	29	29	28	36	26	26
BSU02430	13	22	18	14	11	25
BSU02440	254	154	202	184	169	135
BSU02450	277	208	219	216	185	197
BSU02460	40	49	36	30	26	30
BSU02470	61	69	64	59	37	60
BSU02480	96	100	97	90	53	94
BSU02490	51	56	89	88	52	72
BSU02500	917	634	513	652	692	582
BSU02510	156	143	126	142	125	120
BSU02520	4140	2641	3024	2322	2142	1728
BSU_misc_RNA_6	1560	1423	1773	1332	872	992
BSU02530	38	17	38	21	18	19
BSU02540	123	81	151	123	114	123
BSU02550	100	88	108	108	94	62
BSU02560	194	159	212	141	117	110
BSU02570	317	207	251	221	240	152
BSU02580	263	196	210	215	199	175
BSU02590	287	215	199	134	332	251
BSU02600	352	212	160	198	277	128
BSU02610	338	201	281	219	357	255
BSU02619	4	4	2	2	4	3
BSU02620	81	63	80	89	54	68
BSU02630	21	12	33	10	11	14
BSU02640	465	341	298	430	388	327
BSU02650	460	354	344	447	424	359
BSU02660	803	631	549	725	652	526
BSU02670	1339	1019	1171	896	885	731
BSU02680	831	675	578	634	486	483
BSU02690	87	74	64	86	96	77
BSU02700	4087	2554	3114	4351	3944	3607
BSU02710	513	277	350	423	430	280
BSU02720	2800	1903	1983	2119	1809	1626
BSU02730	505	302	424	356	363	306
BSU02740	330	281	235	354	285	305
BSU02750	67	53	113	88	82	70
BSU02760	168	134	165	137	129	187
BSU02770	306	214	235	252	244	230
BSU02780	4863	2250	2551	3389	4593	3287
BSU02790	204	204	248	227	225	210
BSU02800	381	240	330	263	287	214
BSU02810	175	99	169	138	100	116
BSU02820	2594	1931	2085	2273	2163	1879
BSU02830	22	24	16	29	14	41
BSU02840	181	185	206	176	191	316
BSU02850	1078	830	807	740	600	617
BSU02860	240	177	184	98	106	102
BSU02870	279	254	218	217	233	232
BSU02880	207	233	168	220	150	147
BSU02890	3733	2458	3710	3112	3218	2468
BSU02900	4590	2694	3313	3745	4260	3062
BSU02910	4594	3248	4126	3741	4161	3342
BSU02920	6359	4574	5819	5313	5989	4764
BSU02930	3554	2481	2837	3028	3027	2285
BSU02940	2907	2076	2140	2713	2795	2182
BSU02950	4928	4081	4767	3918	3734	2885
BSU02960	243	151	212	142	114	101
BSU02970	348	208	174	427	332	366
BSU02980	5205	3092	3999	2745	2951	2137
BSU02990	4340	2904	3677	2961	3598	2476
BSU03000	6361	3920	4687	4210	5439	3625
BSU03010	220	115	160	193	154	142
BSU03020	190	150	175	186	143	185
BSU03030	200	155	185	158	248	217
BSU03040	6236	3682	4352	3979	4731	3856
BSU03050	527	1666	84	29562	32149	27260
BSU03060	241	315	215	20846	18463	19568
BSU03070	6296	4256	5226	4727	5317	3774
BSU03080	488	378	472	296	273	236
BSU03090	602	485	532	377	346	262
BSU03100	716	436	591	433	369	277
BSU03110	122	68	72	64	55	63
BSU03120	2	19	29	8	12	8
BSU03130	3348	2351	2629	2627	2980	2671
BSU03140	280	215	227	262	271	248
BSU03150	486	319	353	360	434	392
BSU03160	224	173	109	142	169	143
BSU03170	351	286	285	203	173	151
BSU03180	934	696	801	857	770	637
BSU03190	510	336	472	353	403	351
BSU03200	9602	6387	7590	10288	9688	7017
BSU03210	22023	16657	17501	23816	24897	18247
BSU03220	13250	10112	10102	12873	12500	9455
BSU03230	1168	641	888	721	1085	884
BSU03240	742	490	517	489	540	488
BSU03250	367	253	321	257	256	237
BSU03260	305	263	305	250	201	201
BSU03270	4174	2959	3777	3262	2863	2113
BSU03280	6898	5822	6629	5613	5067	4249
BSU03290	865	554	750	698	625	628
BSU03300	1541	1248	1236	1287	952	1049
BSU03310	62	84	101	65	51	65
BSU03320	61	97	54	80	57	65
BSU03330	140	112	130	145	133	96
BSU03340	14	23	24	32	15	20
BSU03350	3	13	7	6	9	9
BSU03359	2	2	3	5	4	4
BSU03360	42	20	36	41	30	43
BSU03370	1403	1071	1223	982	1145	955
BSU03380	2170	1392	1625	1335	1455	1039
BSU03390	458	287	252	406	391	335
BSU03400	186	60	107	78	199	122
BSU03410	1481	737	927	928	1996	997
BSU03420	2497	1698	1591	2204	3414	3075
BSU03430	2090	1460	1317	1683	2136	1634
BSU03440	3376	1758	2289	2696	3917	3020
BSU03450	727	426	487	493	627	471
BSU03460	720	434	490	531	603	500
BSU03470	270	168	177	139	217	179
BSU03480	476006	317794	345533	370790	441998	330689
BSU03490	170486	114061	122338	134231	160107	128933
BSU03500	0	0	0	0	0	0
BSU03510	242471	157741	179470	173161	222033	159533
BSU03520	69127	48426	48679	53268	66225	56333
BSU03530	2147	1411	1774	1684	1875	1447
BSU03540	315	85	168	234	307	323
BSU03550	122	102	108	80	90	79
BSU03560	442	387	446	393	330	343
BSU03580	600	586	534	421	465	397
BSU03590	939	730	857	834	780	622
BSU03600	873	543	653	700	684	541
BSU03610	1439	923	969	1153	1305	1086
BSU03620	57	45	49	49	43	56
BSU03630	30	28	41	40	25	33
BSU03640	92	103	95	79	97	65
BSU03651	40	11	17	13	17	9
BSU03652	31	39	35	38	45	45
BSU03660	199	213	136	228	250	171
BSU03670	401	264	255	339	330	274
BSU03680	60	61	99	68	54	48
BSU03690	8	3	2	5	11	5
BSU03700	57	61	57	57	57	68
BSU03710	73	63	101	77	67	66
BSU03720	113	156	129	118	144	124
BSU03730	21	22	36	24	18	30
BSU03740	43	81	129	90	64	106
BSU03750	354	292	285	309	313	294
BSU03760	1190	839	903	1011	957	818
BSU03770	7982	4260	4699	6135	6681	5314
BSU03780	1172	1071	1335	1544	1363	1932
BSU03789	39	19	50	51	35	53
BSU03790	1998	1470	1339	2220	1842	1379
BSU03800	4990	2968	3980	3536	4396	3156
BSU03810	5451	3120	4909	3877	4659	3370
BSU03820	6781	3786	4758	4817	5089	3960
BSU03830	10802	5930	7213	7978	10269	8194
BSU03840	973	725	900	753	790	652
BSU03850	525	354	426	392	354	299
BSU03860	635	570	552	575	611	568
BSU03870	178	168	208	179	204	184
BSU03880	614	465	338	640	528	616
BSU03890	214	163	233	193	150	162
BSU03900	69	79	113	119	63	91
BSU03910	1237	894	857	1069	1013	876
BSU03920	14	13	21	23	17	19
BSU03930	25	17	23	27	23	19
BSU03940	718	496	651	940	833	982
BSU03950	1144	809	1048	1709	1235	1243
BSU03960	446	263	360	784	547	653
BSU03970	248	155	142	249	198	219
BSU03981	359	333	323	292	319	283
BSU03982	167	115	136	138	113	123
BSU03990	421	342	406	367	321	330
BSU04000	657	584	528	725	582	590
BSU04010	625	379	488	450	464	459
BSU04020	1122	795	868	787	763	599
BSU04030	1030	823	720	779	746	662
BSU04039	59	36	26	31	42	60
BSU04040	1380	1020	977	1361	1222	1025
BSU04050	1064	766	778	838	710	646
BSU04060	1730	1244	1441	1297	1422	940
BSU04070	1051	789	1065	871	1021	689
BSU04080	846	684	713	666	803	607
BSU04090	1051	738	801	846	849	646
BSU04100	799	547	633	659	610	460
BSU04110	611	524	561	583	667	607
BSU04120	1177	633	737	973	1103	972
BSU04130	1004	637	843	759	706	627
BSU04140	6479	3806	4739	4082	4876	3475
BSU04150	4003	2766	2886	3095	3188	2685
BSU04160	842	655	627	669	633	527
BSU04170	360	231	218	295	296	248
BSU04180	16	19	21	12	16	29
BSU04190	14	10	17	10	13	23
BSU04200	13	12	19	21	21	30
BSU04210	915	616	674	596	494	385
BSU04220	849	523	465	553	577	577
BSU04230	92	77	147	106	87	81
BSU04240	105	105	120	238	169	227
BSU04250	167	277	310	270	181	267
BSU04260	4385	3639	3890	3516	3290	2681
BSU04270	169	149	203	141	155	142
BSU04280	42	52	62	68	45	66
BSU04290	102	87	83	76	71	86
BSU04300	57	48	63	55	57	51
BSU04310	219	146	211	211	161	224
BSU_misc_RNA_7	193	294	234	374	179	312
BSU04320	493	489	511	488	499	391
BSU04330	23	21	18	8	4	11
BSU04340	235	199	254	155	120	217
BSU04359	507	252	253	470	409	400
BSU04360	20675	16363	15592	18390	18086	16024
BSU04370	10	9	19	23	21	50
BSU04380	8	23	16	18	14	29
BSU04390	456	375	255	368	343	306
BSU04400	17	14	3	22	41	97
BSU04410	176	128	75	156	154	115
BSU04420	197	124	113	196	162	114
BSU04430	318	329	272	329	314	233
BSU04440	726	557	565	631	596	534
BSU04450	643	561	585	416	387	362
BSU04460	303	268	330	181	183	174
BSU04470	2489	2305	2609	2167	2426	2095
BSU04480	2432	1493	1868	1513	1921	1360
BSU04490	1209	775	878	675	675	595
BSU04500	717	369	673	546	687	494
BSU04510	652	612	583	1912	1576	2440
BSU04520	1329	1154	1028	1500	1071	1131
BSU04530	2710	1658	1972	4538	4016	4981
BSU04540	556	459	370	501	502	484
BSU04550	1385	1071	1061	1423	1907	1987
BSU04560	4034	3115	3571	3263	3177	2656
BSU04570	947	713	772	825	684	552
BSU04580	20203	14622	17905	15563	13150	13117
BSU04590	1388	936	1262	1444	1291	1119
BSU04600	4242	2863	3941	3247	3415	2562
BSU04610	579	332	408	416	429	400
BSU04620	177	155	117	157	111	125
BSU04630	518	306	373	364	357	320
BSU04640	1304	1002	1153	919	1028	803
BSU04650	5356	3647	3739	4151	4442	3677
BSU04660	5264	3030	2809	3952	4613	4112
BSU04670	1393	886	993	1081	1192	1017
BSU04680	631	415	487	466	578	417
BSU04690	917	555	750	842	704	502
BSU04700	1947	1136	1372	1478	1728	1361
BSU04710	780	589	658	657	870	906
BSU04720	1409	821	861	1055	1305	1331
BSU04730	2265	1624	1864	1689	2158	2243
BSU04740	1708	1050	1236	1498	1668	1897
BSU04750	23	15	14	31	11	18
BSU04760	140	103	125	148	139	131
BSU04770	212	166	131	157	116	115
BSU04780	1754	1330	1478	1478	1540	1152
BSU04790	363	247	218	181	177	188
BSU_tRNA_45	2232	3152	3543	1741	1014	1605
BSU_tRNA_46	17516	39076	67296	66414	30683	77303
BSU_tRNA_47	6644	9589	12790	13887	8502	19183
BSU_tRNA_48	5408	4062	4208	6580	4131	6324
BSU_tRNA_49	3395	2094	2054	3332	2275	3390
BSU_tRNA_50	5473	7528	11414	11468	4580	11239
BSU_tRNA_51	10829	18352	35562	25363	8961	22413
BSU04800	366	165	235	267	558	382
BSU04810	253	34	89	173	414	291
BSU04820	232	111	132	183	388	325
BSU04830	13	13	6	10	23	16
BSU04839	27	17	10	10	25	19
BSU04840	37	16	37	19	47	35
BSU04850	26	20	18	19	24	21
BSU04860	47	45	65	27	51	44
BSU04870	28	42	50	30	44	36
BSU04880	5	3	3	4	10	6
BSU04890	11	9	5	9	12	8
BSU04900	11	9	4	3	8	7
BSU04910	8	13	21	16	14	13
BSU04920	5	2	4	6	7	5
BSU04930	14	6	23	9	5	12
BSU04940	49	30	42	35	38	47
BSU04950	3	3	3	2	3	5
BSU04960	44	42	38	41	32	55
BSU04970	9	13	21	14	10	28
BSU04980	12	9	23	6	8	12
BSU04990	330	139	277	270	491	430
BSU05000	772	311	452	481	1193	758
BSU05010	306	99	135	250	489	345
BSU05020	85	60	69	99	175	186
BSU05030	216	91	195	123	255	172
BSU05040	175	114	150	152	204	159
BSU05050	168	48	100	88	129	68
BSU05060	98	101	208	122	153	209
BSU05070	108	39	58	95	118	110
BSU05080	100	48	34	111	126	151
BSU05090	145	103	130	126	91	121
BSU05099	48	25	34	27	60	31
BSU05100	430	202	243	343	514	356
BSU05109	95	15	25	67	150	104
BSU05110	58	32	35	39	63	37
BSU05120	10614	6303	9257	10389	11215	12574
BSU05130	399	153	185	147	313	300
BSU05140	66	40	39	53	71	52
BSU05150	192	78	146	106	158	145
BSU05160	134	94	112	130	133	108
BSU05170	217	139	140	182	226	148
BSU05180	474	344	461	470	362	485
BSU05190	125	85	94	108	130	86
BSU05200	581	176	306	279	538	353
BSU05210	213	120	179	123	157	167
BSU05220	489	329	328	375	513	349
BSU05230	203	171	169	157	172	154
BSU05240	225	349	676	396	275	448
BSU05250	281	106	154	181	208	184
BSU05260	785	473	560	691	679	602
BSU05270	320	315	289	251	269	236
BSU05280	1227	733	923	838	1095	800
BSU05290	113	102	86	91	79	85
BSU05300	113	46	77	81	80	88
BSU05310	52	40	66	62	44	49
BSU05320	411	293	352	446	314	263
BSU05329	90	97	108	134	128	188
BSU05330	35	40	46	23	50	38
BSU05340	306	181	262	250	393	241
BSU05350	80	24	59	83	81	76
BSU05360	19	16	24	19	8	18
BSU05370	144	126	164	111	103	125
BSU05380	130	83	110	126	124	127
BSU05390	566	399	501	513	438	440
BSU05400	892	637	611	827	1069	1079
BSU05408	8	4	14	5	10	4
BSU05409	4	1	1	2	6	3
BSU05410	351	229	331	286	242	270
BSU05420	252	156	185	222	188	204
BSU05430	270	749	1369	769	389	919
BSU05440	5575	3535	3969	4003	3605	3349
BSU05450	64	47	43	58	48	37
BSU05460	176	80	129	154	161	153
BSU05470	65	57	62	54	28	47
BSU05480	6	7	12	17	6	11
BSU05490	23	16	23	29	15	30
BSU05500	61	52	84	73	89	83
BSU05510	14	17	18	14	24	12
BSU05520	11	2	2	6	12	18
BSU05529	6	8	6	9	3	3
BSU05530	19	32	19	14	27	31
BSU05540	52	40	31	45	52	53
BSU05550	36	17	31	27	29	38
BSU05560	5	5	9	5	7	4
BSU05570	5	12	9	4	3	5
BSU05580	2884	1831	2169	2142	2812	2027
BSU05590	1232	699	850	888	1183	819
BSU05600	841	587	559	719	657	459
BSU05610	1162	807	872	918	931	792
BSU05620	3289	2606	2989	2822	2900	2564
BSU05630	417	212	201	429	566	510
BSU05640	94	40	56	49	54	41
BSU05650	877	507	663	597	677	506
BSU05660	176	120	167	148	133	159
BSU05670	97	70	129	66	94	54
BSU05680	1005	749	1003	815	842	715
BSU05690	98	82	88	75	105	76
BSU05700	417	356	224	331	361	327
BSU05710	60	82	94	61	49	78
BSU05720	287	163	196	293	266	278
BSU05730	36	32	26	12	17	25
BSU05740	121	76	99	89	67	67
BSU05750	424	241	260	407	395	393
BSU05760	213	133	142	171	248	184
BSU05770	164	110	157	130	137	166
BSU05780	389	332	323	386	338	301
BSU05790	118	75	55	98	104	116
BSU05800	64	75	109	63	87	127
BSU_misc_RNA_8	107	72	68	276	320	425
BSU05810	3	13	13	12	9	16
BSU05820	8	6	6	6	5	10
BSU05830	26	39	45	40	31	33
BSU05840	49	63	69	56	42	58
BSU05850	141	115	163	147	141	125
BSU05860	189	132	152	161	149	129
BSU05870	86	73	83	59	63	70
BSU05880	97	70	73	93	119	77
BSU_tRNA_79	590	659	684	396	232	399
BSU_tRNA_80	17750	50457	94090	92033	43453	109922
BSU_rRNA_30	771	413	344	327	268	367
BSU_rRNA_12	788	289	346	293	363	333
BSU_rRNA_13	48	108	76	70	43	95
BSU_tRNA_21	7605	13691	14845	7225	4270	6081
BSU_tRNA_22	6465	14457	28188	24132	8824	20725
BSU05900	860	726	797	534	594	497
BSU05910	461	257	379	266	329	289
BSU05920	491	386	412	430	354	329
BSU05930	350	250	264	247	250	173
BSU05940	716	536	506	558	457	448
BSU05950	1444	874	906	1186	1224	990
BSU05960	723	416	648	554	575	512
